file,ground_truth,extracted_text,word_error_rate,character_error_rate,precision,recall,f1,exact_match_char,elapsed
0000.png,muito,muito,"0,00","0,00","1,00","1,00","1,00",True,"1,40"
0001.png,se,se,"0,00","0,00","1,00","1,00","1,00",True,"1,27"
0002.png,discute,discute,"0,00","0,00","1,00","1,00","1,00",True,"1,23"
0003.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,32"
0004.png,importância,importânci d,"2,00","0,18","0,83","0,91","0,87",False,"1,23"
0005.png,da,da,"0,00","0,00","1,00","1,00","1,00",True,"1,19"
0006.png,cultura,cultura,"0,00","0,00","1,00","1,00","1,00",True,"1,19"
0007.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,44"
0008.png,um,um,"0,00","0,00","1,00","1,00","1,00",True,"2,81"
0009.png,"país,",páis,"1,00","0,60","0,50","0,40","0,44",False,"0,93"
0010.png,afinal,afinal,"0,00","0,00","1,00","1,00","1,00",True,"5,84"
0011.png,essa,essa,"0,00","0,00","1,00","1,00","1,00",True,"1,05"
0012.png,é,,"1,00","1,00","0,00","0,00","0,00",False,"1,79"
0013.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,04"
0014.png,essência,essência,"0,00","0,00","1,00","1,00","1,00",True,"1,08"
0015.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"5,52"
0016.png,cada,cada,"0,00","0,00","1,00","1,00","1,00",True,"1,84"
0017.png,um,sim,"1,00","1,00","0,33","0,50","0,40",False,"1,18"
0018.png,deles.,deles.,"0,00","0,00","1,00","1,00","1,00",True,"1,53"
0019.png,a,,"1,00","1,00","0,00","0,00","0,00",False,"1,78"
0020.png,democratização,democratização,"0,00","0,00","1,00","1,00","1,00",True,"1,33"
0021.png,da,da,"0,00","0,00","1,00","1,00","1,00",True,"1,36"
0022.png,cultura,cultura,"0,00","0,00","1,00","1,00","1,00",True,"1,12"
0023.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,20"
0024.png,uma,uma d,"1,00","0,67","0,60","1,00","0,75",False,"2,97"
0025.png,nação,nação,"0,00","0,00","1,00","1,00","1,00",True,"1,08"
0026.png,é,,"1,00","1,00","0,00","0,00","0,00",False,"1,33"
0027.png,oque,o que,"2,00","0,25","0,80","1,00","0,89",False,"1,03"
0028.png,os,os,"0,00","0,00","1,00","1,00","1,00",True,"1,07"
0029.png,torna,torna,"0,00","0,00","1,00","1,00","1,00",True,"0,88"
0030.png,"único,","único,","0,00","0,00","1,00","1,00","1,00",True,"1,51"
0031.png,e,,"1,00","1,00","0,00","0,00","0,00",False,"1,42"
0032.png,atrativo,atrativo,"0,00","0,00","1,00","1,00","1,00",True,"1,27"
0033.png,para,para,"0,00","0,00","1,00","1,00","1,00",True,"1,57"
0034.png,turistas.,turistas.,"0,00","0,00","1,00","1,00","1,00",True,"1,59"
0035.png,igualar,iguais,"1,00","0,43","0,67","0,57","0,62",False,"0,99"
0036.png,culturas,culturas,"0,00","0,00","1,00","1,00","1,00",True,"1,96"
0037.png,em,e m,"2,00","0,50","0,67","1,00","0,80",False,"1,02"
0038.png,um,um,"0,00","0,00","1,00","1,00","1,00",True,"1,67"
0039.png,país,pais,"1,00","0,25","0,75","0,75","0,75",False,"1,58"
0040.png,tão,tão,"0,00","0,00","1,00","1,00","1,00",True,"1,07"
0041.png,"missigenado,",missigenado,"1,00","0,08","1,00","0,92","0,96",False,"1,06"
0042.png,deveria,deveria.,"1,00","0,14","0,88","1,00","0,93",False,"1,11"
0043.png,ser,ser,"0,00","0,00","1,00","1,00","1,00",True,"1,22"
0044.png,uma,uma d,"1,00","0,67","0,60","1,00","0,75",False,"0,87"
0045.png,tarefa,taref,"1,00","0,17","1,00","0,83","0,91",False,"1,05"
0046.png,simples,simples,"0,00","0,00","1,00","1,00","1,00",True,"1,13"
0047.png,já,a',"1,00","1,00","0,00","0,00","0,00",False,"1,14"
0048.png,que,que,"0,00","0,00","1,00","1,00","1,00",True,"1,26"
0049.png,convivemos,convivemos.,"1,00","0,10","0,91","1,00","0,95",False,"1,43"
0050.png,com,com,"0,00","0,00","1,00","1,00","1,00",True,"1,06"
0051.png,tantas,tantas,"0,00","0,00","1,00","1,00","1,00",True,"1,10"
0052.png,pessoas,pessoas,"0,00","0,00","1,00","1,00","1,00",True,"1,23"
0053.png,diferentes,diferentes,"0,00","0,00","1,00","1,00","1,00",True,"1,11"
0054.png,em,e ro.,"2,00","2,00","0,20","0,50","0,29",False,"1,21"
0055.png,nossa,nossa,"0,00","0,00","1,00","1,00","1,00",True,"2,02"
0056.png,sociedade.,sociedade.,"0,00","0,00","1,00","1,00","1,00",True,"1,16"
0057.png,mesmo,mesmo,"0,00","0,00","1,00","1,00","1,00",True,"2,85"
0058.png,com,.com,"1,00","0,33","0,75","1,00","0,86",False,"0,94"
0059.png,os,,"1,00","1,00","0,00","0,00","0,00",False,"1,72"
0060.png,avan-,avant,"1,00","0,20","0,80","0,80","0,80",False,"1,86"
0061.png,ços,gas,"1,00","0,67","0,33","0,33","0,33",False,"1,83"
0062.png,nos,nos,"0,00","0,00","1,00","1,00","1,00",True,"0,94"
0063.png,"direitos,",direitos,"1,00","0,11","1,00","0,89","0,94",False,"1,23"
0064.png,existem,existem,"0,00","0,00","1,00","1,00","1,00",True,"0,95"
0065.png,muitos,muitos,"0,00","0,00","1,00","1,00","1,00",True,"3,04"
0066.png,casos,casos,"0,00","0,00","1,00","1,00","1,00",True,"1,39"
0067.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,06"
0068.png,"desrespeito,","desrespeito,","0,00","0,00","1,00","1,00","1,00",True,"1,10"
0069.png,in-,,"1,00","1,00","0,00","0,00","0,00",False,"1,29"
0070.png,tolerança,tolerância,"1,00","0,33","0,70","0,78","0,74",False,"1,21"
0071.png,e,,"1,00","1,00","0,00","0,00","0,00",False,"1,81"
0072.png,discriminação,discriminação,"0,00","0,00","1,00","1,00","1,00",True,"1,25"
0073.png,com,com,"0,00","0,00","1,00","1,00","1,00",True,"1,32"
0074.png,participantes,participantes.,"1,00","0,08","0,93","1,00","0,96",False,"1,28"
0075.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"3,72"
0076.png,determi-,determi-,"0,00","0,00","1,00","1,00","1,00",True,"1,11"
0077.png,nadas,nadas,"0,00","0,00","1,00","1,00","1,00",True,"1,05"
0078.png,culturas.,culturais.,"1,00","0,11","0,90","1,00","0,95",False,"1,28"
0079.png,há,há,"0,00","0,00","1,00","1,00","1,00",True,"1,17"
0080.png,preconceito,preconceito,"0,00","0,00","1,00","1,00","1,00",True,"0,96"
0081.png,em,com,"1,00","1,00","0,33","0,50","0,40",False,"4,27"
0082.png,todos,"todos,","1,00","0,20","0,83","1,00","0,91",False,"1,06"
0083.png,os,,"1,00","1,00","0,00","0,00","0,00",False,"1,84"
0084.png,tipos,tipos,"0,00","0,00","1,00","1,00","1,00",True,"1,53"
0085.png,de,de,"0,00","0,00","1,00","1,00","1,00",True,"1,85"
0086.png,manifestações,manifestacões,"1,00","0,08","0,92","0,92","0,92",False,"1,13"
