file,ground_truth,extracted_text,word_error_rate,exact_match,elapsed
0000.png,muito,muito,"0,00",True,"0,62"
0001.png,se,se,"0,00",True,"0,71"
0002.png,discute,discute,"0,00",True,"0,74"
0003.png,a,a,"0,00",True,"0,70"
0004.png,importância,importancia,"1,00",False,"1,10"
0005.png,da,da,"0,00",True,"0,76"
0006.png,cultura,cultura,"0,00",True,"0,81"
0007.png,de,"""image.png""","1,00",False,"0,62"
0008.png,um,sum,"1,00",False,"0,80"
0009.png,"país,",país,"1,00",False,"0,92"
0010.png,afinal,a final,"2,00",False,"0,72"
0011.png,essa,essa,"0,00",True,"0,72"
0012.png,é,e',"1,00",False,"0,69"
0013.png,a,"""please provide the image""","4,00",False,"0,71"
0014.png,essência,essência,"0,00",True,"0,76"
0015.png,de,"""code""","1,00",False,"0,74"
0016.png,cada,cada,"0,00",True,"0,68"
0017.png,um,"""10m""","1,00",False,"0,75"
0018.png,deles.,deles,"1,00",False,"0,67"
0019.png,a,a,"0,00",True,"0,72"
0020.png,democratização,de democratização,"1,00",False,"0,83"
0021.png,da,db6,"1,00",False,"0,63"
0022.png,cultura,cultura,"0,00",True,"0,68"
0023.png,de,"""de""","1,00",False,"0,79"
0024.png,uma,uma,"0,00",True,"0,77"
0025.png,nação,nação,"0,00",True,"0,91"
0026.png,é,e,"1,00",False,"0,99"
0027.png,oque,oque,"0,00",True,"0,72"
0028.png,os,os,"0,00",True,"0,75"
0029.png,torna,tornado,"1,00",False,"0,65"
0030.png,"único,",único,"1,00",False,"0,76"
0031.png,e,e,"0,00",True,"0,71"
0032.png,atrativo,"""stration""","1,00",False,"0,75"
0033.png,para,pårð,"1,00",False,"0,73"
0034.png,turistas.,turistas.,"0,00",True,"0,72"
0035.png,igualar,igualaran,"1,00",False,"0,64"
0036.png,culturas,cultured,"1,00",False,"0,95"
0037.png,em,element,"1,00",False,"0,67"
0038.png,um,um,"0,00",True,"0,73"
0039.png,país,pais,"1,00",False,"0,67"
0040.png,tão,tão,"0,00",True,"0,69"
0041.png,"missigenado,",missioe hadou,"2,00",False,"0,87"
0042.png,deveria,deveria,"0,00",True,"0,71"
0043.png,ser,"""ser""","1,00",False,"0,68"
0044.png,uma,uma,"0,00",True,"0,97"
0045.png,tarefa,tarefa,"0,00",True,"0,76"
0046.png,simples,simples,"0,00",True,"0,71"
0047.png,já,"""image_data""","1,00",False,"0,76"
0048.png,que,que,"0,00",True,"0,80"
0049.png,convivemos,convivimos,"1,00",False,"0,82"
0050.png,com,"""com""","1,00",False,"0,74"
0051.png,tantas,stantás,"1,00",False,"0,71"
0052.png,pessoas,pessoas,"0,00",True,"0,68"
0053.png,diferentes,diferentes,"0,00",True,"0,62"
0054.png,em,eero,"1,00",False,"0,78"
0055.png,nossa,inossa,"1,00",False,"0,71"
0056.png,sociedade.,sociedadle.,"1,00",False,"0,76"
0057.png,mesmo,m e c m o,"5,00",False,"0,82"
0058.png,com,com,"0,00",True,"0,72"
0059.png,os,"""los""","1,00",False,"0,71"
0060.png,avan-,image.jpg,"1,00",False,"0,63"
0061.png,ços,cos,"1,00",False,"0,81"
0062.png,nos,nos,"0,00",True,"0,77"
0063.png,"direitos,",direitos,"1,00",False,"0,77"
0064.png,existem,existen,"1,00",False,"0,76"
0065.png,muitos,muitos,"0,00",True,"2,59"
0066.png,casos,casos,"0,00",True,"1,02"
0067.png,de,image.png,"1,00",False,"0,82"
0068.png,"desrespeito,","desrespeito,","0,00",True,"0,75"
0069.png,in-,"""image""","1,00",False,"0,72"
0070.png,tolerança,toleranca,"1,00",False,"1,50"
0071.png,e,e,"0,00",True,"0,82"
